,Open,High,Low,Close,Volume BTC,Volume USDT mil,Open_b_1,High_b_1,Low_b_1,Close_b_1,Volume_(BTC)_b_1,Volume_(Currency)_b_1
710,13474.99,14249.99,12781.09,13539.93,13478.7,184.658025,13539.93,13542.93,9035.0,10900.0,57782.94,659.1754592999999
711,14210.0,14339.5,12569.2,13474.99,16068.86,213.95797799999997,13474.99,14249.99,12781.09,13539.93,13478.7,184.658025
712,13740.01,14580.0,13706.15,14210.0,11761.21,166.5662345,14210.0,14339.5,12569.2,13474.99,16068.86,213.95797799999997
713,13238.78,14109.78,12500.0,13740.01,15623.63,211.7659734,13740.01,14580.0,13706.15,14210.0,11761.21,166.5662345
714,14907.09,14968.68,11400.0,13238.78,30583.29,407.4028259,13238.78,14109.78,12500.0,13740.01,15623.63,211.7659734
715,14400.0,14955.66,13131.31,14907.09,15923.89,223.1566472,14907.09,14968.68,11400.0,13238.78,30583.29,407.4028259
716,14902.54,15500.0,14011.05,14400.0,13116.63,193.0550917,14400.0,14955.66,13131.31,14907.09,15923.89,223.1566472
717,16150.03,16322.3,12812.0,14902.54,22021.1,327.29049460000005,14902.54,15500.0,14011.05,14400.0,13116.63,193.0550917
718,17069.79,17099.96,15610.0,16150.03,9055.69,149.3931719,16150.03,16322.3,12812.0,14902.54,22021.1,327.29049460000005
719,16960.39,17143.13,16011.21,17069.79,14467.86,241.0401123,17069.79,17099.96,15610.0,16150.03,9055.69,149.3931719
720,15059.54,17176.24,14400.0,16960.39,21727.09,344.8411843,16960.39,17143.13,16011.21,17069.79,14467.86,241.0401123
721,14919.51,15280.0,13918.04,15059.54,20701.32,303.5727115,15059.54,17176.24,14400.0,16960.39,21727.09,344.8411843
722,14675.11,15307.56,14150.0,14919.51,15324.48,227.4995268,14919.51,15280.0,13918.04,15059.54,20701.32,303.5727115
723,13380.0,15473.49,12890.02,14675.11,19323.86,269.07915330000003,14675.11,15307.56,14150.0,14919.51,15324.48,227.4995268
724,13716.36,13818.55,12750.0,13387.0,8229.99,109.74245390000002,13380.0,15473.49,12890.02,14675.11,19323.86,269.07915330000003
725,12440.01,14050.11,12149.98,13716.36,11185.03,147.5939197,13716.36,13818.55,12750.0,13387.0,8229.99,109.74245390000002
726,14378.9,14398.85,11750.0,12440.01,18048.22,232.72336549999997,12440.01,14050.11,12149.98,13716.36,11185.03,147.5939197
727,14182.11,14981.0,13850.0,14378.9,17529.86,253.0956872,14378.9,14398.85,11750.0,12440.01,18048.22,232.72336549999997
728,15459.99,15539.99,13150.0,14182.11,20542.86,287.0412003,14182.11,14981.0,13850.0,14378.9,17529.86,253.0956872
729,15689.01,16498.05,14200.15,15459.99,14346.0,221.7865125,15459.99,15539.99,13150.0,14182.11,20542.86,287.0412003
730,13699.34,16050.0,13533.0,15689.01,14518.35,217.0441383,15689.01,16498.05,14200.15,15459.99,14346.0,221.7865125
731,13500.0,14300.0,12708.0,13699.34,15309.82,207.21389019999998,13699.34,16050.0,13533.0,15689.01,14518.35,217.0441383
732,13300.0,13819.99,11640.0,13500.0,27308.43,349.8235876,13500.0,14300.0,12708.0,13699.34,15309.82,207.21389019999998
733,13326.61,14950.0,12978.18,13300.0,12442.98,174.97720780000003,13300.0,13819.99,11640.0,13500.0,27308.43,349.8235876
734,15492.64,15699.34,10961.0,13326.61,33474.46,443.5878263,13326.61,14950.0,12978.18,13300.0,12442.98,174.97720780000003
735,16488.98,17309.5,14022.0,15492.64,19677.98,310.22157989999994,15492.64,15699.34,10961.0,13326.61,33474.46,443.5878263
736,17295.2,17720.35,14777.66,16488.98,12787.63,210.42747110000002,16488.98,17309.5,14022.0,15492.64,19677.98,310.22157989999994
737,18856.25,18950.0,16300.0,17295.2,12628.02,222.6789798,17295.2,17720.35,14777.66,16488.98,12787.63,210.42747110000002
738,18860.02,19300.0,17029.98,18856.25,10280.98,190.0573369,18856.25,18950.0,16300.0,17295.2,12628.02,222.6789798
739,19102.66,19798.68,18510.0,18860.02,8980.73,172.1133905,18860.02,19300.0,17029.98,18856.25,10280.98,190.0573369
740,17539.83,19539.0,17190.01,19102.66,4118.28,74.73657726,19102.66,19798.68,18510.0,18860.02,8980.73,172.1133905
741,16334.98,17991.0,16298.45,17539.83,8999.13,156.6450986,17539.83,19539.0,17190.01,19102.66,4118.28,74.73657726
742,16033.29,16445.0,15450.0,16334.98,11220.26,179.7143687,16334.98,17991.0,16298.45,17539.83,8999.13,156.6450986
743,16349.99,16546.0,14666.56,16033.29,12216.88,193.6593099,16033.29,16445.0,15450.0,16334.98,11220.26,179.7143687
744,16587.97,16976.45,15875.0,16349.99,9309.36,153.6186812,16349.99,16546.0,14666.56,16033.29,12216.88,193.6593099
745,14899.98,17470.0,14899.98,16587.97,11632.79,189.99175459999998,16587.97,16976.45,15875.0,16349.99,9309.36,153.6186812
746,14656.07,15720.12,12368.0,14899.98,16107.43,227.4508199,14899.98,17470.0,14899.98,16587.97,11632.79,189.99175459999998
747,15880.0,16269.3,12535.0,14656.07,13725.0,202.6104786,14656.07,15720.12,12368.0,14899.98,16107.43,227.4508199
748,16599.0,17204.99,14015.0,15880.0,17344.04,267.7900285,15880.0,16269.3,12535.0,14656.07,13725.0,202.6104786
749,13550.05,16649.96,13050.0,16599.0,7262.95,106.2762612,16599.0,17204.99,14015.0,15880.0,17344.04,267.7900285
750,11699.99,13615.23,11665.58,13550.05,6556.68,82.49314976,13550.05,16649.96,13050.0,16599.0,7262.95,106.2762612
751,11579.0,11853.0,11447.68,11699.99,5510.92,64.25681715,11699.99,13615.23,11665.58,13550.05,6556.68,82.49314976
752,11165.41,11600.0,10802.0,11579.0,4599.15,52.08805928,11579.0,11853.0,11447.68,11699.99,5510.92,64.25681715
753,10890.01,11825.0,10500.0,11165.41,5212.23,58.84708926,11165.41,11600.0,10802.0,11579.0,4599.15,52.08805928
754,10782.99,11190.0,10620.0,10890.01,4700.93,51.34378605,10890.01,11825.0,10500.0,11165.41,5212.23,58.84708926
755,9838.96,10898.0,9380.0,10782.99,6033.85,61.23861944,10782.99,11190.0,10620.0,10890.01,4700.93,51.34378605
756,9687.88,10900.0,8850.8,9838.96,9181.76,89.44370791,9838.96,10898.0,9380.0,10782.99,6033.85,61.23861944
757,9896.8,11300.03,8520.0,9687.88,13041.92,132.8921254,9687.88,10900.0,8850.8,9838.96,9181.76,89.44370791
758,9650.0,9939.0,9570.5,9896.8,4877.07,47.842436799999994,9896.8,11300.03,8520.0,9687.88,13041.92,132.8921254
759,9128.02,9654.28,9112.04,9650.0,4473.98,42.51040837,9650.0,9939.0,9570.5,9896.8,4877.07,47.842436799999994
760,8700.01,9350.0,8604.72,9128.02,4108.18,36.78879823,9128.02,9654.28,9112.04,9650.0,4473.98,42.51040837
761,8138.0,8734.78,8090.0,8700.01,4228.66,35.55746289,8700.01,9350.0,8604.72,9128.02,4108.18,36.78879823
762,8019.99,8369.0,7850.0,8138.0,4331.83,35.19069502,8138.0,8734.78,8090.0,8700.01,4228.66,35.55746289
763,8205.92,8260.0,8000.0,8019.99,4054.54,33.07879197,8019.99,8369.0,7850.0,8138.0,4331.83,35.19069502
764,8119.51,8322.68,8091.09,8205.92,3518.81,28.90967215,8205.92,8260.0,8000.0,8019.99,4054.54,33.07879197
765,8212.0,8400.0,7801.0,8119.51,4468.09,36.45926283,8119.51,8322.68,8091.09,8205.92,3518.81,28.90967215
766,8038.0,8319.99,7954.0,8212.0,3857.0,31.32590401,8212.0,8400.0,7801.0,8119.51,4468.09,36.45926283
767,7761.94,8123.15,7650.33,8038.0,3845.99,30.15581114,8038.0,8319.99,7954.0,8212.0,3857.0,31.32590401
768,7699.19,7819.99,7422.0,7761.94,3912.88,30.01808564,7761.94,8123.15,7650.33,8038.0,3845.99,30.15581114
769,7864.5,7989.0,7451.0,7699.19,3893.14,30.33155117,7699.19,7819.99,7422.0,7761.94,3912.88,30.01808564
770,7240.06,7940.0,7076.0,7864.5,2294.2,17.21874272,7864.5,7989.0,7451.0,7699.19,3893.14,30.33155117
771,6574.99,7298.0,6574.99,7240.06,1745.83,12.20926029,7240.06,7940.0,7076.0,7864.5,2294.2,17.21874272
772,6465.99,6684.98,6311.07,6574.99,1228.66,8.00221802,6574.99,7298.0,6574.99,7240.06,1745.83,12.20926029
773,5811.03,6697.47,5699.99,6465.99,2543.41,16.02129787,6465.99,6684.98,6311.07,6574.99,1228.66,8.00221802
774,6245.05,6630.0,5325.01,5811.03,4854.44,29.03226806,5811.03,6697.47,5699.99,6465.99,2543.41,16.02129787
775,6506.98,6797.98,6100.0,6245.05,2685.67,17.24460114,6245.05,6630.0,5325.01,5811.03,4854.44,29.03226806
776,7079.99,7279.91,6255.01,6506.98,3186.23,21.62289873,6506.98,6797.98,6100.0,6245.05,2685.67,17.24460114
777,7303.0,7392.0,7015.0,7079.99,1893.28,13.65425441,7079.99,7279.91,6255.01,6506.98,3186.23,21.62289873
778,7064.04,7770.0,6651.0,7303.0,2726.84,19.80196739,7303.0,7392.0,7015.0,7079.99,1893.28,13.65425441
779,6960.12,7198.49,6901.0,7064.04,1421.75,10.04306188,7064.04,7770.0,6651.0,7303.0,2726.84,19.80196739
780,7345.01,7401.0,6906.0,6960.12,1741.45,12.51822429,6960.12,7198.49,6901.0,7064.04,1421.75,10.04306188
781,7357.09,7590.25,7279.02,7345.01,1192.58,8.88710979,7345.01,7401.0,6906.0,6960.12,1741.45,12.51822429
782,7115.04,7480.99,6901.0,7357.09,1385.7,9.96748556,7357.09,7590.25,7279.02,7345.01,1192.58,8.88710979
783,7019.98,7346.34,6923.0,7115.04,1857.73,13.37196176,7115.04,7480.99,6901.0,7357.09,1385.7,9.96748556
784,6753.98,7300.0,6685.1,7019.98,2459.59,17.06569469,7019.98,7346.34,6923.0,7115.04,1857.73,13.37196176
785,6463.0,6774.67,6338.02,6753.98,1659.85,10.84826096,6753.98,7300.0,6685.1,7019.98,2459.59,17.06569469
786,6120.5,6498.01,6100.0,6463.0,1498.91,9.40585526,6463.0,6774.67,6338.02,6753.98,1659.85,10.84826096
787,6169.98,6248.68,6030.0,6120.5,1467.03,8.98941291,6120.5,6498.01,6100.0,6463.0,1498.91,9.40585526
788,5719.64,6189.88,5648.01,6169.98,1783.44,10.49467052,6169.98,6248.68,6030.0,6120.5,1467.03,8.98941291
789,5768.83,5850.02,5630.03,5719.64,1269.38,7.26528661,5719.64,6189.88,5648.01,6169.98,1783.44,10.49467052
790,5861.77,5980.0,5649.24,5768.83,1394.13,8.11088965,5768.83,5850.02,5630.03,5719.64,1269.38,7.26528661
791,5689.99,5939.99,5650.0,5861.77,1959.75,11.34055863,5861.77,5980.0,5649.24,5768.83,1394.13,8.11088965
792,5477.03,5704.96,5286.98,5689.99,2256.1,12.39853397,5689.99,5939.99,5650.0,5861.77,1959.75,11.34055863
793,5915.93,5925.0,5450.0,5477.03,2555.89,14.42668747,5477.03,5704.96,5286.98,5689.99,2256.1,12.39853397
794,5950.02,6080.0,5621.03,5915.93,1788.86,10.46870939,5915.93,5925.0,5450.0,5477.03,2555.89,14.42668747
795,6024.97,6060.0,5720.03,5950.02,1347.95,7.95148714,5950.02,6080.0,5621.03,5915.93,1788.86,10.46870939
796,6010.01,6171.0,5850.03,6024.97,1650.65,10.03191073,6024.97,6060.0,5720.03,5950.02,1347.95,7.95148714
797,5683.9,6110.0,5600.0,6010.01,1930.56,11.23571466,6010.01,6171.0,5850.03,6024.97,1650.65,10.03191073
798,5512.06,5710.0,5490.26,5683.9,1869.04,10.53778167,5683.9,6110.0,5600.0,6010.01,1930.56,11.23571466
